Year,Term,Subject,Number,Name,Description,Credit Hours,Section Info,Section Title,Section Credit Hours
2026,Spring,SHS,577,Advanced Practicum in Speech-Language Pathology,"A mentored experience in which students are paired with a clinical instructor in SHS and provided opportunities to assist and take leadership roles in the ongoing management of clinical cases in a variety of settings. The advanced practicum is designed for students with more than a year of supervised clinical experience (i.e., more than 100 contact hours as defined by the American Speech-Language and Hearing Association - ASHA). Working within a clinical team, the advanced practicum will provide students with: 1) supported opportunities to assist in all aspects of clinical practice (e.g., diagnosis, intervention, documentation, team meetings/planning); 2) take lead clinician and/or case management roles for some cases; 3) opportunities to obtain supervised contact hours and clinical competencies required by the ASHA for certification in Speech-Language Pathology. Additional fees may apply. See Class Schedule. May be repeated with approval in the same term to a maximum of 3 graduate hours or in separate terms to a maximum of 6 graduate hours. Prerequisite: SHS 477. Restricted to students pursuing clinical preparation in speech-language pathology.",1 TO 4 hours.,Additional fees may apply. See Class Schedule. May be repeated with approval in the same term to a maximum of 3 graduate hours or in separate terms to a maximum of 6 graduate hours. Prerequisite: SHS 477. Restricted to students pursuing clinical preparation in speech-language pathology.,,
2026,Spring,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,,
2026,Spring,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,,
2026,Spring,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,,
2026,Spring,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,,
2026,Spring,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,,
2026,Spring,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,,
2026,Spring,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,,
2026,Spring,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,,
2026,Spring,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,,
2026,Spring,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,,
2026,Spring,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,,
2026,Spring,AAS,200,U.S. Race and Empire,"Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. Same as LLS 200.",3 hours.,Same as LLS 200.,,
2026,Spring,AAS,201,US Racial &amp; Ethnic Politics,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",3 hours.,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",,
2026,Spring,AAS,201,US Racial &amp; Ethnic Politics,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",3 hours.,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",,
2026,Spring,AAS,215,US Citizenship Comparatively,"Examines the racial, gendered, and sexualized aspects of US citizenship historically and comparatively. Interdisciplinary course taught from a humanities perspective. Readings draw from critical legal studies, history, literature, literary criticism, and ethnography. Same as AFRO 215, AIS 295, GWS 215, and LLS 215.",3 hours.,"Same as AFRO 215, AIS 295, GWS 215, and LLS 215.",,
2026,Spring,AAS,246,Asian American Youth in Film,Examines both mainstream and independent films and documentaries representing and/or produced by Asian American youth. Explores the role of multiculturalism and diversity issues in informing young people's experiences.,3 hours.,,,
2026,Spring,AAS,283,Asian American History,Same as HIST 283. See HIST 283.,3 hours.,Same as HIST 283. See HIST 283.,,
2026,Spring,AAS,286,Asian American Literature,Same as ENGL 286. See ENGL 286.,3 hours.,Same as ENGL 286. See ENGL 286.,,3 hours
2026,Spring,AAS,287,Food and Asian Americans,"Introduction to the interdisciplinary study of food to better understand the historical, social, and cultural aspects of Asian American food preparation, distribution and consumption. Students will investigate the politics and poetics of Asian American foodways by examining social habits, and rituals around food in restaurants, ethnic cookbooks, fictional works, memoirs, magazines, and television shows. Prerequisite: AAS 100 or AAS 120, or consent of instructor.",3 hours.,"Prerequisite: AAS 100 or AAS 120, or consent of instructor.",,
2026,Spring,AAS,288,Global Islam and Feminisms,Same as GWS 288. See GWS 288.,3 hours.,Same as GWS 288. See GWS 288.,,3 hours
2026,Spring,AAS,297,Asian Families in America,Same as HDFS 221 and SOCW 297. See SOCW 297.,3 hours.,Same as HDFS 221 and SOCW 297. See SOCW 297.,,
2026,Spring,AAS,297,Asian Families in America,Same as HDFS 221 and SOCW 297. See SOCW 297.,3 hours.,Same as HDFS 221 and SOCW 297. See SOCW 297.,,
2026,Spring,AAS,300,"Theories of Race, Gender, and Sexuality","Explores theories for performing interdisciplinary, intersectional and comparative studies within the field of Asian American studies. Follows multiple genealogies of critical work in ethnic and American studies. Same as GWS 305 and LLS 305.",3 hours.,Same as GWS 305 and LLS 305.,,
2026,Spring,AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",4 hours.,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",,
2026,Spring,AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",4 hours.,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",,
2026,Spring,AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",4 hours.,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",,
2026,Spring,AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",4 hours.,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",,
2026,Spring,AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",4 hours.,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",,
2026,Spring,AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",4 hours.,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",,
2026,Spring,AAS,355,Race and Mixed Race,Same as LLS 355 and SOC 355. See LLS 355.,3 hours.,Same as LLS 355 and SOC 355. See LLS 355.,,
2026,Spring,AAS,357,Literatures of the Displaced,"Same as AIS 357, ENGL 357, GWS 357, and LLS 357. See LLS 357.",3 hours.,"Same as AIS 357, ENGL 357, GWS 357, and LLS 357. See LLS 357.",,
2026,Spring,AAS,370,"Immigration, Law, and Rights","Exploration of the histories, cultures, and experiences of immigration to the United States by examining cultural production (literary and visual narratives and texts) alongside legal discourses (legislation, federal court cases). Same as LLS 372.",3 hours.,Same as LLS 372.,,
2026,Spring,AAS,390,Intermed Topics Asian Am St,May be repeated in the same or subsequent terms to a maximum of 6 hours.,3 hours.,May be repeated in the same or subsequent terms to a maximum of 6 hours.,Asian Am Crit Mental Health,
2026,Spring,AAS,465,"Race, Sex, and Deviance","Same as AFRO 465, GWS 465, and LLS 465. See LLS 465.",3 OR 4 hours.,"Same as AFRO 465, GWS 465, and LLS 465. See LLS 465.",,4 hours
2026,Spring,AAS,465,"Race, Sex, and Deviance","Same as AFRO 465, GWS 465, and LLS 465. See LLS 465.",3 OR 4 hours.,"Same as AFRO 465, GWS 465, and LLS 465. See LLS 465.",,3 hours
2026,Spring,AAS,496,Experiments in Queer of Color Performance,"Same as ENGL 496, FAA 496, GWS 496, and THEA 486. See FAA 496.",3 hours.,"Same as ENGL 496, FAA 496, GWS 496, and THEA 486. See FAA 496.",,
2026,Spring,AAS,561,Race and Cultural Critique,"Introduction to graduate level theoretical and methodological approaches in Comparative Race Studies. As a survey of theories of race and racism and the methodology of critique, this course offers an interdisciplinary approach that draws from anthropology, sociology, history, literature, cultural studies, and gender/sexuality studies. In addition, the study of racial and cultural formation is examined from a comparative perspective in the scholarship of racialized and Gender and Women's Studies. Same as AFRO 531, ANTH 565, GWS 561, and LLS 561.",4 hours.,"Same as AFRO 531, ANTH 565, GWS 561, and LLS 561.",,
2026,Spring,AAS,589,Readings in Asian Am Studies,Individual guidance in intensive readings in the literature of one or more subdivisions of the field of Asian American Studies. May be repeated to a maximum of 8 hours. Students may register in more than one section per term if topics vary. Prerequisite: Graduate standing or consent of instructor.,1 TO 4 hours.,May be repeated to a maximum of 8 hours. Students may register in more than one section per term if topics vary. Prerequisite: Graduate standing or consent of instructor.,,4 hours
2026,Spring,ABE,128,Applied Biology for Agricultural and Biological Engineers,"Principles of biology relevant to agriculture, food, energy, and the environment, including microbiology, biochemistry, genetics, plant and animal systems, and ecosystems. Case studies of engineering applications where these biological principles have been taken into account or leveraged for the purpose of design. Credit not given for both ABE 128 and ABE 141.",3 hours.,Credit not given for both ABE 128 and ABE 141.,,
2026,Spring,ABE,128,Applied Biology for Agricultural and Biological Engineers,"Principles of biology relevant to agriculture, food, energy, and the environment, including microbiology, biochemistry, genetics, plant and animal systems, and ecosystems. Case studies of engineering applications where these biological principles have been taken into account or leveraged for the purpose of design. Credit not given for both ABE 128 and ABE 141.",3 hours.,Credit not given for both ABE 128 and ABE 141.,,
2026,Spring,ABE,128,Applied Biology for Agricultural and Biological Engineers,"Principles of biology relevant to agriculture, food, energy, and the environment, including microbiology, biochemistry, genetics, plant and animal systems, and ecosystems. Case studies of engineering applications where these biological principles have been taken into account or leveraged for the purpose of design. Credit not given for both ABE 128 and ABE 141.",3 hours.,Credit not given for both ABE 128 and ABE 141.,,
2026,Spring,ABE,128,Applied Biology for Agricultural and Biological Engineers,"Principles of biology relevant to agriculture, food, energy, and the environment, including microbiology, biochemistry, genetics, plant and animal systems, and ecosystems. Case studies of engineering applications where these biological principles have been taken into account or leveraged for the purpose of design. Credit not given for both ABE 128 and ABE 141.",3 hours.,Credit not given for both ABE 128 and ABE 141.,,
2026,Spring,ABE,152,Water in the Global Environment,"This course develops a comprehensive understanding and appreciation of water and its impact in a global context. The course emphasizes cultural practices associated with water and its use, especially for regions in non-western cultures. Students will develop critical knowledge of: 1) water availability, water quality, and global challenges; 2) historical perspectives of water use; 3) past, present, and future environmental sustainability in relation to water, food, and energy; and 4) conduct analysis of cultural practices and their sustainability based on water in a global context. Students attend 3-4 field trips related to the course.",3 hours.,,,3 hours
2026,Spring,ABE,199,Undergraduate Open Seminar,May be repeated to a maximum of 12 hours.,1 TO 5 hours.,May be repeated to a maximum of 12 hours.,,
2026,Spring,ABE,199,Undergraduate Open Seminar,May be repeated to a maximum of 12 hours.,1 TO 5 hours.,May be repeated to a maximum of 12 hours.,ABE@IL Ambassador Training,1 hours
2026,Spring,ABE,228,Computer-Aided Problem-Solving for ABE II,"Case studies from traditional and new domains in ABE will be considered, such as: off-highway vehicles, natural resources and environmental systems, control of indoor air environments, bioprocessing of food and agricultural materials, digital and urban agriculture, renewable energy, sustainability, and synthetic biology. Typical approaches to problem solving include spreadsheets, GUI based programming, scripting, geospatial platforms, solid modeling, visual programming, dynamic modeling, biological modeling. ABE 228 considers complementary approaches and topics covered in ABE 227. Prerequisite: One of MATH 220, MATH 221, MATH 234.",3 hours.,"Prerequisite: One of MATH 220, MATH 221, MATH 234.",,
2026,Spring,ABE,228,Computer-Aided Problem-Solving for ABE II,"Case studies from traditional and new domains in ABE will be considered, such as: off-highway vehicles, natural resources and environmental systems, control of indoor air environments, bioprocessing of food and agricultural materials, digital and urban agriculture, renewable energy, sustainability, and synthetic biology. Typical approaches to problem solving include spreadsheets, GUI based programming, scripting, geospatial platforms, solid modeling, visual programming, dynamic modeling, biological modeling. ABE 228 considers complementary approaches and topics covered in ABE 227. Prerequisite: One of MATH 220, MATH 221, MATH 234.",3 hours.,"Prerequisite: One of MATH 220, MATH 221, MATH 234.",,
